API_NUMBER,DA_STATUS_NUMBER,OPERATOR_NAME,LEASE_NAME,center_lat_wgs84,center_lon_wgs84,min_lat_wgs84,max_lat_wgs84,min_lon_wgs84,max_lon_wgs84
336248,0908639,"EOG RESOURCES, INC.",RLINO D                       01,28.674534,-98.770471,28.67384726126662,28.675220887640247,-98.77125343872464,-98.76968780189787
336249,0908641,"EOG RESOURCES, INC.",RLINO E                       01,28.674520,-98.770321,28.67383336207932,28.67520698845295,-98.77110343440106,-98.76953779778202
336244,0908642,"EOG RESOURCES, INC.",RLINO F                       01,28.674440,-98.770365,28.67375276457095,28.675126390944577,-98.77114783478326,-98.76958219936871
336245,0908644,"EOG RESOURCES, INC.",RLINO G                       01,28.674356,-98.770410,28.673669467149427,28.675043093523055,-98.77119233513965,-98.76962670096991
336246,0908645,"EOG RESOURCES, INC.",RLINO H                       01,28.674276,-98.770454,28.673588869641076,28.674962496014704,-98.77123673552187,-98.76967110255661
336247,0908646,"EOG RESOURCES, INC.",RLINO J                       01,28.674195,-98.770498,28.67350837212951,28.67488199850314,-98.77128113590513,-98.76971550414285
331768,0905498,"WAGGONER OPERATING, L.L.C.",GGONER DN-DISPOSAL            13,33.797232,-99.010790,33.796545001184214,33.797918627557834,-99.01161661014616,-99.00996365272066
331834,0908672,"WAGGONER OPERATING, L.L.C.",GGONER DNTCC                  13,33.794575,-99.027169,33.79388821705377,33.79526184342739,-99.0279956544212,-99.02634274829768
331833,0908318,"WAGGONER OPERATING, L.L.C.",GGONER DNTZ                   13,33.795960,-99.113353,33.7952734355729,33.79664706194652,-99.11417970332487,-99.1125267704539
331832,0908311,"WAGGONER OPERATING, L.L.C.",GGONER DNTZ                   13,33.796962,-99.122952,33.796275584023796,33.79764921039742,-99.12377869888239,-99.12212574665959
533794,0908938,BURLINGTON RESOURCES O & G CO LP,REN KENNEDY UNIT A            02,28.664677,-98.047325,28.66399068170121,28.66536430807484,-98.04810807726243,-98.0465425877003
332777,0908164,FIREBIRD ENERGY II LLC,YOTE UNIT                     10,32.545509,101.675521,32.54482188681319,32.54619551318681,101.67470654059336,101.67633605940664
332778,0908165,FIREBIRD ENERGY II LLC,YOTE UNIT                     10,32.545528,101.675427,32.54484128681319,32.54621491318681,101.67461194041731,101.6762414595827
332779,0908166,FIREBIRD ENERGY II LLC,YOTE UNIT                     10,32.541832,101.665488,32.54114508681319,32.54251871318681,101.66467377395792,101.66630322604207
332780,0908167,FIREBIRD ENERGY II LLC,YOTE UNIT                     10,32.541851,101.665394,32.54116448681319,32.54253811318681,101.6645789737819,101.66620842621809
300082,0908638,"HIGHPEAK ENERGY HOLDINGS, LLC",J ENGLE                       11,32.595933,101.305360,32.59524608681319,32.59661971318681,101.30454448241193,101.30617491758807
332769,0907618,"HIGHPEAK ENERGY HOLDINGS, LLC",Y GUFFEE 68-6 B UNIT          10,32.524248,101.215789,32.52356068681319,32.52493431318681,101.21497473344073,101.21660386655927
332770,0907619,"HIGHPEAK ENERGY HOLDINGS, LLC",Y GUFFEE 68-6 B UNIT          10,32.524255,101.215951,32.52356848681319,32.52494211318681,101.21513673337002,101.21676586662998
332772,0907652,"HIGHPEAK ENERGY HOLDINGS, LLC",WELL 68-6 A UNIT              10,32.524259,101.216032,32.52357238681319,32.52494601318681,101.21521763333466,101.21684676666534
332620,0907798,KING OPERATING CORPORATION,LLER RANCH                    10,32.920211,101.374084,32.91952418681319,32.92089781318681,101.37326580830712,101.37490219169287
332783,0908558,"SURGE OPERATING, LLC",NDERS 41-29                   10,32.622839,101.457806,32.62215218681319,32.62352581318681,101.45699053745919,101.45862146254082
332784,0908559,"SURGE OPERATING, LLC",MASSU UNIT B 44-05            10,32.622772,101.457787,32.62208518681319,32.62345881318681,101.45697153806955,101.45860246193044
331224,0908600,"YUKON EXPLORATION OPERATING, LLC","OD, T. J. '36'                11",32.610256,101.599878,32.60956968681319,32.61094331318681,101.59906245205079,101.60069314794922
730358,0907744,"MACHIN & ASSOCIATES, INC.",LFORD UNIT                    06,33.405790,-94.469825,33.405103272047455,33.406476898421076,-94.47064727792538,-94.46900180696274
933383,0908450,"ASSENT ENERGY PARTNERS, LLC",ACK STONE MINERALS            03,29.279651,-95.449730,29.2789640954452,29.280337721818828,-95.45051765352308,-95.4489428328218
131950,0907005,"CML EXPLORATION, LLC",IDEL                          03,30.778373,-96.255718,30.777686364306227,30.779059990679855,-96.25651737144301,-96.25491855703385
732447,0908389,"EOG RESOURCES, INC.","EBERG, R J JR TR QUITERIA PAST04",26.894215,-98.025729,26.89352797256586,26.894901598939487,-98.02649928555208,-98.02495907493936
134411,0908579,WILDFIRE ENERGY OPERATING LLC,STICE                         03,30.653869,-96.597531,30.65318194224789,30.654555568621518,-96.59832897936329,-96.59673222780026
937203,0908681,ATMOS PIPELINE - TEXAS,-19                           08,32.514311,-99.224023,32.51362413539979,32.51499776177341,-99.22483785563735,-99.22320890263607
937202,0907738,ENERGY TRANSFER COMPANY,65                            08,32.514606,-99.384359,32.51391907198379,32.51529269835741,-99.38517379392579,-99.38354483557956
735405,0908601,"MUIRFIELD EXPLORATION, LTD.",NNETT                         13,33.988535,-98.189812,33.987848591278215,33.989222217651836,-98.19064056394551,-98.18898389471953
735404,0908563,"MUIRFIELD EXPLORATION, LTD.",EMENT                         13,34.011308,-98.186613,34.010621570096795,34.011995196470416,-98.18744137989118,-98.18578426646637
735406,0908950,"MUIRFIELD EXPLORATION, LTD.",EMENT                         13,34.012130,-98.186616,34.01144325099013,34.012816877363754,-98.18744459119073,-98.18578746172928
